n_ws^third_max_value,ShearModulus_max_value,Group_composition_average,Column_composition_average,GSenergy_pa_composition_average,AtomicVolume_difference,ThirdIonizationEnergy_min_value,NsUnfilled_arithmetic_average,SecondIonizationEnergy_min_value,AtomicVolume_min_value,BCCenergy_pa_composition_average,ICSDVolume_min_value,NdValence_composition_average,valence_max_value,NsValence_arithmetic_average,valence_difference,Electronegativity_composition_average,IsBoron_difference,IsBoron_composition_average,IsBoron_arithmetic_average,valence_composition_average,NpUnfilled_difference,ShearModulus_difference,IsBoron_max_value,NValance_difference
1.63,69.0,10.8,10.8,-5.323330759,18574.150436930217,23.32,0.2,10.004,18.0467295591839,-3.927001789,17.3,0.5,5.0,1.7999999999999998,3.0,2.515,0.0,0.0,0.0,2.7,0.0,64.1,0.0,18.0
1.45,30.0,12.0,12.0,-5.433391945,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-4.012625608,17.3,1.4,4.0,2.0,2.0,2.609,0.0,0.0,0.0,2.6,2.0,25.1,0.0,16.0
1.52,44.0,12.0,12.0,-5.2154847235,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.801287483,17.3,1.4,4.0,2.0,2.0,2.633,0.0,0.0,0.0,2.6,2.0,39.1,0.0,16.0
1.45,33.0,12.0,12.0,-5.292557867,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.8818881590000007,17.3,1.4,4.0,2.0,2.0,2.612,0.0,0.0,0.0,2.6,2.0,28.1,0.0,16.0
1.45,30.0,11.8,11.8,-4.671742617,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.241298608,17.3,1.2,4.0,2.0,2.0,2.579,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.45,30.0,10.8,10.8,-5.205568596,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.790927055,17.3,0.4,4.0,2.0,2.0,2.508,0.0,0.0,0.0,2.4,0.0,25.1,0.0,16.0
1.5,30.0,11.8,11.8,-4.752630463,18572.18078877279,23.32,0.0,10.004,20.0163777166128,-3.303663158,17.3,0.2,4.0,2.0,2.0,2.568,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.45,30.0,11.8,11.8,-4.6062433715,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.202954663,17.3,1.2,4.0,2.0,2.0,2.574,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.52,44.0,10.8,10.8,-4.9876613745,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.57958893,17.3,0.4,4.0,2.0,2.0,2.532,0.0,0.0,0.0,2.4000000000000004,0.0,39.1,0.0,16.0
1.45,33.0,10.8,10.8,-5.064734518,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.660189606,17.3,0.4,4.0,2.0,2.0,2.511,0.0,0.0,0.0,2.4000000000000004,0.0,28.1,0.0,16.0
1.64,38.0,12.0,12.0,-5.278457208500001,18574.195033509084,23.32,0.2,10.004,18.0021329803168,-3.880290054000001,17.3,1.6,5.0,1.8000000000000005,3.0,2.605,1.0,0.1,0.2,2.6,3.0,35.2,1.0,25.0
1.63,69.0,12.0,12.0,-5.4542650095,18574.150436930217,23.32,0.0,10.004,18.0467295591839,-4.056097855,17.3,1.5,5.0,2.0,3.0,2.595,1.0,0.1,0.2,2.6,3.0,66.2,1.0,25.0
1.45,30.0,11.8,11.8,-5.062859592000001,18575.60274197189,20.52,0.0,10.004,16.5944245175099,-3.644716593,16.6,0.3,4.0,2.0,2.0,2.566,1.0,0.1,0.2,2.4000000000000004,3.0,25.1,1.0,16.0
1.64,38.0,12.8,12.8,-4.728403587000001,18575.12151853951,25.04,0.4,10.004,17.0756479498908,-3.3390258060000004,17.0,2.4,5.0,1.6,3.0,2.702,0.0,0.0,0.0,2.5,2.0,33.1,0.0,12.0
1.52,44.0,11.8,11.8,-4.412407016,18574.560849330595,27.491,0.0,10.004,17.6363171588061,-3.0161747730000004,17.3,1.2,4.0,2.0,2.0,2.592,0.0,0.0,0.0,2.4000000000000004,2.0,39.1,0.0,12.0
1.37,18.0,12.8,12.8,-4.098968989,18569.536190107043,30.502,0.0,10.004,22.6609763823586,-2.678258146,17.3,2.0,4.0,2.0,2.0,2.65,0.0,0.0,0.0,2.4000000000000004,2.0,13.1,0.0,12.0
1.5,18.0,12.8,12.8,-4.179856835000001,18572.18078877279,30.502,0.0,10.004,20.0163777166128,-2.740622696,17.3,1.0,4.0,2.0,2.0,2.639,0.0,0.0,0.0,2.4000000000000004,2.0,13.1,0.0,12.0
1.24,18.0,12.8,12.8,-4.0334697435,18565.23038122733,30.502,0.0,10.004,26.9667852620646,-2.639914201,17.3,2.0,4.0,2.0,2.0,2.645,0.0,0.0,0.0,2.4,2.0,13.1,0.0,12.0
1.52,44.0,11.8,11.8,-4.4148877465,18574.560849330595,27.491,0.0,10.004,17.6363171588061,-3.016548468,17.3,1.2,4.0,2.0,2.0,2.603,0.0,0.0,0.0,2.4000000000000004,2.0,39.1,0.0,12.0
1.39,26.0,12.8,12.8,-4.3098290085,18575.60274197189,19.174,0.0,10.004,16.5944245175099,-2.9023009010000003,16.6,1.1,4.0,2.0,2.0,2.62,1.0,0.1,0.2,2.4000000000000004,3.0,21.1,1.0,12.0
